id,company_id,branch_id,supplier_id,user_id,purchase_date,status,total_amount,tax_amount,net_amount,payment_status,created_at
5598c99a-483e-40f0-87df-a999249cfb61,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,ac762d6f-ed3b-4c87-b515-d60985542a08,2afe7cda-5682-4c01-a59f-5f13090047f6,2024-02-12,received,263302.45,13165.12,276467.57,partial,2024-02-12T09:46:58
4f74e86c-d53b-4277-b61a-0dced9868cb5,00000000-0000-0000-0000-000000000003,470852ed-b70b-4f24-879a-6edb4193d8b6,7490c99c-54fd-4577-bf9f-ad2156c1e1c9,1db94196-443a-440f-ad7e-c4422bb047e3,2022-03-14,received,35891.12,1794.56,37685.68,unpaid,2022-03-14T09:42:44
5cc76650-df7a-4ee0-a110-e17016de0662,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,399195ea-6f83-4bd1-854c-0576868e3b5b,9dd0c56d-a9cf-4c8d-a998-9df89eb48a85,2023-09-19,received,772984.95,38649.25,811634.2,paid,2023-09-19T13:54:21
e3307ade-2917-4781-bcc1-f18a8b9ec788,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,cdfc2396-1d66-4c9e-9264-dc667735e359,f17772cf-7a8e-4e04-aeef-8c148fe1a7e5,2024-09-20,received,151567.56,7578.38,159145.94,partial,2024-09-20T13:00:26
d46e7dab-a071-49ab-84d7-1d77cdf3c6e2,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,2e058fb2-fb73-468b-8aa7-773746a04d4e,07274486-6344-4009-ae28-b9027a51f93f,2024-12-15,received,26237.52,1311.88,27549.4,partial,2024-12-15T14:18:20
0fd5f68c-e0aa-44bd-8149-b735bd53daeb,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,3b91033a-58fc-4601-904a-62494351553a,7f514159-0b19-4321-a308-daec53995d5a,2024-02-23,pending,547086.16,27354.31,574440.47,partial,2024-02-23T17:44:29
12563518-145e-46ce-bcf9-f06a57f05ecb,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,0436de05-d70a-4512-bbe5-92540b42cd62,61d2418d-6936-4075-a481-1d994952d89b,2022-01-08,received,156192.38,7809.62,164002.0,paid,2022-01-08T14:45:02
a2cd1ccb-f3ab-4a45-a3ed-9d9e14ca887e,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,16659e19-e5f2-4a23-9cfb-9a547d5aff05,9d2a5f48-38f2-46be-b733-c1b9f1c891c4,2022-10-25,received,70345.83,3517.29,73863.12,paid,2022-10-25T16:24:29
f922c269-3bd1-4924-b90e-5bc9f67fb16a,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,a8680bb4-102b-4cf4-a170-5eb5a2500495,f72410dd-3260-4ece-a477-1ae69ac1e84e,2024-11-09,received,840374.18,42018.71,882392.89,partial,2024-11-09T16:12:32
f61d374c-51ff-4016-bb0b-e0447e4b7e6a,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,d5687860-0dc6-4c96-9140-5a55a497c94d,9dd0c56d-a9cf-4c8d-a998-9df89eb48a85,2022-04-18,pending,49324.92,2466.25,51791.17,paid,2022-04-18T16:25:22
6848e4ef-8073-4f15-9e2e-ba6e6df0399c,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,588a3ca9-790e-4c7e-a52f-20b4fe497cce,4736f247-39f8-400c-b9ea-519dfbb485f6,2022-10-02,received,1300.7,65.04,1365.74,unpaid,2022-10-02T09:11:58
f00fc087-9c58-4505-b226-1a452b9e19af,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,986742bb-c2a2-474f-9c7b-2639157ac1dc,e452be79-f94b-4709-88bf-8f66053789c4,2024-02-03,cancelled,308473.33,15423.67,323897.0,unpaid,2024-02-03T08:35:17
dfad3db2-8dad-4e32-8d7f-76511370dd5e,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,588a3ca9-790e-4c7e-a52f-20b4fe497cce,163b0e08-1801-4ae5-af8c-f287fbcdff7c,2023-12-05,pending,80353.44,4017.67,84371.11,paid,2023-12-05T08:36:16
a142fcb5-5f33-4993-9dcd-5960425d3f09,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,9fc17485-c25c-4c84-a174-831549165eab,e452be79-f94b-4709-88bf-8f66053789c4,2022-05-24,received,435972.03,21798.6,457770.63,paid,2022-05-24T14:27:44
992b0a6f-b096-4c9a-914c-2914909ed8bf,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,b67a77f8-a704-4e29-9c80-12ecad94717d,2afe7cda-5682-4c01-a59f-5f13090047f6,2024-05-25,cancelled,31379.13,1568.96,32948.09,unpaid,2024-05-25T18:27:44
59392319-73d1-4e0d-b7d3-ddb942ec9346,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,ac762d6f-ed3b-4c87-b515-d60985542a08,bcde24c7-84f3-4459-afee-eba83339896c,2024-05-01,received,11314.38,565.72,11880.1,partial,2024-05-01T13:03:37
d8b9b786-52f5-4c2c-ba1e-adb83d9f3fd9,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,abee37a2-746f-4580-9f72-500aae5a8cd7,7760d86e-b342-473c-8c64-b55d64aa491a,2023-11-23,received,23885.25,1194.26,25079.51,paid,2023-11-23T11:57:06
7f16cea1-6e81-4e77-aea0-44897307facf,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,a6869331-1795-462a-be24-e6127ba25ce4,f17772cf-7a8e-4e04-aeef-8c148fe1a7e5,2023-06-15,received,786385.64,39319.28,825704.92,paid,2023-06-15T11:38:53
0afb01ef-7c93-4cf9-9b5e-069d0ea8356b,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,2e058fb2-fb73-468b-8aa7-773746a04d4e,517d046e-f5e7-4244-8dab-e8995b9bfdc4,2024-09-12,received,79447.71,3972.39,83420.1,paid,2024-09-12T17:21:18
effb3ae6-2a9a-4119-895c-a2b5a9a58300,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,ac762d6f-ed3b-4c87-b515-d60985542a08,81c496fc-1d35-4405-9a7d-ae0a15104d5b,2024-08-10,received,606418.02,30320.9,636738.92,paid,2024-08-10T13:23:44
38e0ecb8-7cc1-43bd-b4ac-888cce4b53b4,00000000-0000-0000-0000-000000000003,470852ed-b70b-4f24-879a-6edb4193d8b6,65ab3eab-caf3-41f6-8cfc-19f116a30364,1db94196-443a-440f-ad7e-c4422bb047e3,2024-05-09,received,18589.09,929.45,19518.54,paid,2024-05-09T18:23:22
be18cae6-857a-4364-b6e8-7022708c313f,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,9feb0f55-7e5c-4581-9a8d-f846c8f20ce3,61d2418d-6936-4075-a481-1d994952d89b,2023-08-28,received,82793.82,4139.69,86933.51,partial,2023-08-28T10:21:21
a5c8addb-7f5f-4d5a-a35c-3ed2118f8d7e,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,98c89a77-2c04-42af-b942-fda9d9dad8b5,5a96b78c-2c6b-4aaa-88b5-7c7485705113,2022-06-23,received,1805509.53,90275.48,1895785.01,partial,2022-06-23T16:18:27
8a3dd822-aa27-4afe-b77c-18fe1c24b159,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,abee37a2-746f-4580-9f72-500aae5a8cd7,f577e0e3-284e-4c71-8d16-74f51d0fe305,2023-10-21,received,203920.48,10196.02,214116.5,unpaid,2023-10-21T09:25:21
1d58f102-c8c9-47f7-92ba-17c3ace1f4fe,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,4bd0b582-5268-49ae-80fc-e11ee1d174c1,3f0519f3-383c-48a1-8609-f4b51fd5ecd4,2022-05-20,received,339751.44,16987.57,356739.01,paid,2022-05-20T17:50:04
6e9e1762-4117-41d7-ab30-f11b2bcc0550,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,f19ab549-e262-470a-aa44-9bacdee97062,c75c1d53-938d-4640-b118-e5ada06ce255,2023-12-22,received,423068.0,21153.4,444221.4,paid,2023-12-22T09:55:10
c75262b7-6c97-4bff-bce9-11b74c10673b,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,5876ac2e-6534-414c-b629-58ed4b6ef76b,aadd1a3f-3f20-499a-b950-51966ac9090c,2022-11-07,received,455105.52,22755.28,477860.8,paid,2022-11-07T09:51:34
466b0be5-db36-4bce-b526-24259b390182,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,9fc17485-c25c-4c84-a174-831549165eab,29998a31-9af5-4c58-9bfe-cde4f9a96969,2024-05-14,received,13580.17,679.01,14259.18,partial,2024-05-14T14:58:05
7ef0e844-6e96-4145-b6bc-8855821060be,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,212cf991-45e9-4b5e-b07d-aa0303292cbb,163b0e08-1801-4ae5-af8c-f287fbcdff7c,2023-06-08,received,594169.64,29708.48,623878.12,paid,2023-06-08T16:41:34
6137a860-3a14-4cb9-9360-b1b0a9a11222,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,5876ac2e-6534-414c-b629-58ed4b6ef76b,3f0519f3-383c-48a1-8609-f4b51fd5ecd4,2024-08-11,received,202484.1,10124.21,212608.31,paid,2024-08-11T14:57:20
7207ce0f-aa3a-4ced-b6fe-cec42a682bfe,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,986742bb-c2a2-474f-9c7b-2639157ac1dc,355d120a-98dd-4393-a62e-df5f4b8a455b,2022-06-20,received,4276506.65,213825.33,4490331.98,paid,2022-06-20T15:08:13
d03a65dc-49f3-4144-b860-8a4cf48cf2d1,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,5876ac2e-6534-414c-b629-58ed4b6ef76b,7760d86e-b342-473c-8c64-b55d64aa491a,2024-09-21,received,1392315.36,69615.77,1461931.13,paid,2024-09-21T14:00:42
3bda2084-70bc-4a9d-822b-34d0726af324,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,a51cd41b-e869-4b37-852e-977a6d82cbac,81c496fc-1d35-4405-9a7d-ae0a15104d5b,2023-08-20,received,38151.23,1907.56,40058.79,paid,2023-08-20T13:23:46
295e7521-5260-4e4a-9794-aa6e7cf1ef1e,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,f6a87777-3805-4173-84b9-2401937360c7,5a96b78c-2c6b-4aaa-88b5-7c7485705113,2022-08-18,received,281554.0,14077.7,295631.7,unpaid,2022-08-18T17:09:55
fbabe479-1647-4083-8670-b1142f9cf04b,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,1c82d8ea-34eb-4ff8-bf9d-a85944d2c0a7,61d2418d-6936-4075-a481-1d994952d89b,2023-03-23,pending,52827.06,2641.35,55468.41,partial,2023-03-23T08:36:51
0ece22e2-ed81-4532-8531-efdbf2a9e8dc,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,2e598a56-6968-4a17-8b69-b1a3e5fda9a6,e452be79-f94b-4709-88bf-8f66053789c4,2022-08-04,received,27758.2,1387.91,29146.11,paid,2022-08-04T13:16:00
cf69f495-d244-48a3-ba1c-cdcc639d51a5,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,7490c99c-54fd-4577-bf9f-ad2156c1e1c9,79c1732a-a6d1-4565-b515-c59de4dbdfe5,2023-06-04,received,378531.32,18926.57,397457.89,partial,2023-06-04T09:27:59
e106f474-9d1a-4edd-89b4-ca13401174e3,00000000-0000-0000-0000-000000000003,470852ed-b70b-4f24-879a-6edb4193d8b6,0436de05-d70a-4512-bbe5-92540b42cd62,29998a31-9af5-4c58-9bfe-cde4f9a96969,2024-12-17,pending,22848.3,1142.41,23990.71,partial,2024-12-17T14:40:26
14b428f8-7ed2-4919-8e9f-50932c64084f,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,1b6e5347-c3b2-41b9-8445-7086d99c375d,f72410dd-3260-4ece-a477-1ae69ac1e84e,2023-12-24,received,294141.73,14707.09,308848.82,partial,2023-12-24T12:58:15
8120771a-4197-47e0-af50-f2c58c0982f2,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,a9f065ca-cf51-4492-bb14-e9059818290f,9d2a5f48-38f2-46be-b733-c1b9f1c891c4,2023-06-18,received,108971.79,5448.59,114420.38,paid,2023-06-18T17:56:33
dfb7a832-d6b2-449e-af96-ee145023cc98,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,68d67282-8967-46e5-9c05-b39b454d3a61,3b9ffffd-ca39-4330-b08f-59cdb916323f,2022-01-14,received,274046.03,13702.3,287748.33,partial,2022-01-14T11:04:43
6e3693cf-7db1-4fbf-b791-8a4fe1ecdb85,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,a8680bb4-102b-4cf4-a170-5eb5a2500495,c75c1d53-938d-4640-b118-e5ada06ce255,2022-02-26,cancelled,68650.29,3432.51,72082.8,unpaid,2022-02-26T14:35:15
a30a9bf7-a3fc-497d-a9f3-ccc46b4dbb98,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,5876ac2e-6534-414c-b629-58ed4b6ef76b,eaefa70d-63c2-4537-b86d-2205b826bb2e,2024-02-13,received,286906.86,14345.34,301252.2,partial,2024-02-13T08:18:37
d820ca14-1847-4bee-9bba-b7093bc461f0,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,abee37a2-746f-4580-9f72-500aae5a8cd7,4736f247-39f8-400c-b9ea-519dfbb485f6,2023-12-29,received,206016.79,10300.84,216317.63,unpaid,2023-12-29T08:24:37
61c1b9db-268c-4588-800f-a88c566b1052,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,beaaa3f3-89f5-4b14-b4ee-11af19f00d58,517d046e-f5e7-4244-8dab-e8995b9bfdc4,2024-01-29,pending,203221.7,10161.09,213382.79,paid,2024-01-29T18:59:39
af7de32b-fc68-4d10-bd2d-0c361275c10e,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,16659e19-e5f2-4a23-9cfb-9a547d5aff05,81c496fc-1d35-4405-9a7d-ae0a15104d5b,2022-02-11,received,50045.86,2502.29,52548.15,partial,2022-02-11T11:56:59
be97b016-e57e-4af1-80b2-c8f26fbfacde,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,1b6e5347-c3b2-41b9-8445-7086d99c375d,07274486-6344-4009-ae28-b9027a51f93f,2024-11-04,pending,1038.6,51.93,1090.53,paid,2024-11-04T18:26:00
326cf621-f223-4bcf-be22-9e3277af1a41,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,73cdd1f6-899b-4147-97ca-0b457d675d36,7f514159-0b19-4321-a308-daec53995d5a,2022-11-19,received,54229.0,2711.45,56940.45,unpaid,2022-11-19T09:50:46
3fb20f03-400a-4107-8afa-3f995aab9bb3,00000000-0000-0000-0000-000000000003,470852ed-b70b-4f24-879a-6edb4193d8b6,986742bb-c2a2-474f-9c7b-2639157ac1dc,74245d66-8df4-4678-b1e9-76d5e231caff,2022-06-22,received,2245094.68,112254.73,2357349.41,paid,2022-06-22T11:17:13
3f6adb81-6dff-4754-b6b0-b4a0dda1e2b1,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,ac762d6f-ed3b-4c87-b515-d60985542a08,7f514159-0b19-4321-a308-daec53995d5a,2022-12-12,pending,218788.96,10939.45,229728.41,paid,2022-12-12T16:39:53
7a870483-107e-49e0-b35c-2dfab91903af,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,2e058fb2-fb73-468b-8aa7-773746a04d4e,c75c1d53-938d-4640-b118-e5ada06ce255,2022-04-17,received,8032.64,401.63,8434.27,unpaid,2022-04-17T11:33:41
78336011-4bc2-4640-a97b-a4cbe9b3f949,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,f59bf2da-1446-4867-9c8a-70d19a11a30d,355d120a-98dd-4393-a62e-df5f4b8a455b,2023-03-12,received,60481.38,3024.07,63505.45,partial,2023-03-12T12:50:21
2c27d232-c3d8-443d-ac73-4a022f12cd69,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,7eb2daa0-a295-4484-bb3e-a157e2b20283,8626b762-d8ef-4e32-8446-33cdac213522,2022-12-28,pending,36531.4,1826.57,38357.97,unpaid,2022-12-28T17:00:58
967a5248-d5c9-4f49-ba53-1745874ae74d,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,cdfc2396-1d66-4c9e-9264-dc667735e359,5a96b78c-2c6b-4aaa-88b5-7c7485705113,2023-08-27,received,36125.43,1806.27,37931.7,paid,2023-08-27T15:38:52
3ea6f906-6eee-4a8c-9f3d-ddaaaccb8b07,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,986742bb-c2a2-474f-9c7b-2639157ac1dc,1db94196-443a-440f-ad7e-c4422bb047e3,2022-10-07,cancelled,35759.6,1787.98,37547.58,unpaid,2022-10-07T11:35:41
904ac5ef-38c0-4174-bdd0-9151578f6e63,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,120b15c2-6028-48b8-b30e-40f358f81c6b,61d2418d-6936-4075-a481-1d994952d89b,2022-09-19,cancelled,34215.8,1710.79,35926.59,unpaid,2022-09-19T18:02:55
5b5fa8a9-101e-438f-b54d-ee707d3688a4,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,b67a77f8-a704-4e29-9c80-12ecad94717d,07274486-6344-4009-ae28-b9027a51f93f,2022-05-18,received,42260.61,2113.03,44373.64,paid,2022-05-18T10:23:03
fddc7eea-72cf-4d03-bd56-ad7f86c12e73,00000000-0000-0000-0000-000000000003,470852ed-b70b-4f24-879a-6edb4193d8b6,7eb2daa0-a295-4484-bb3e-a157e2b20283,29998a31-9af5-4c58-9bfe-cde4f9a96969,2022-03-02,received,649771.88,32488.59,682260.47,partial,2022-03-02T15:25:34
9cb10321-15a0-46b8-957a-6ccb00eb5c27,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,f19ab549-e262-470a-aa44-9bacdee97062,c75c1d53-938d-4640-b118-e5ada06ce255,2022-12-27,received,12004.93,600.25,12605.18,partial,2022-12-27T10:12:24
b8e48ccf-0684-4d7a-8b2a-8087f0717feb,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,a6869331-1795-462a-be24-e6127ba25ce4,aadd1a3f-3f20-499a-b950-51966ac9090c,2022-10-21,received,443178.88,22158.94,465337.82,paid,2022-10-21T12:24:02
faeda45f-65ed-4e76-9567-c339c6ba73c5,00000000-0000-0000-0000-000000000003,470852ed-b70b-4f24-879a-6edb4193d8b6,02f30f73-2d3a-4410-9981-e136a1ce5d54,29998a31-9af5-4c58-9bfe-cde4f9a96969,2024-07-31,pending,24700.14,1235.01,25935.15,paid,2024-07-31T15:30:05
de57e426-509c-4b02-8268-eefe37c3a3c0,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,5876ac2e-6534-414c-b629-58ed4b6ef76b,ea13a2c7-2a88-40f3-b073-4e507c524f18,2023-06-02,pending,553027.01,27651.35,580678.36,unpaid,2023-06-02T16:28:39
0dc5b5cb-5a93-4ea6-8c0b-43f549384b33,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,cdfc2396-1d66-4c9e-9264-dc667735e359,4736f247-39f8-400c-b9ea-519dfbb485f6,2023-02-13,received,85456.98,4272.85,89729.83,partial,2023-02-13T09:04:47
836bfa43-31e5-4c70-837c-e0c894f8f017,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,abee37a2-746f-4580-9f72-500aae5a8cd7,7760d86e-b342-473c-8c64-b55d64aa491a,2023-11-11,received,6827.29,341.36,7168.65,partial,2023-11-11T17:30:35
cf0b8e35-4388-47df-8d20-7e14ddb3fecd,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,16659e19-e5f2-4a23-9cfb-9a547d5aff05,09cd08c0-c83a-42f5-96cc-b9c13c2aa7e4,2024-04-05,cancelled,116170.42,5808.52,121978.94,unpaid,2024-04-05T18:16:37
d13b1278-7943-48c8-9b56-c2fce34ffeba,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,f6a87777-3805-4173-84b9-2401937360c7,5a96b78c-2c6b-4aaa-88b5-7c7485705113,2023-06-14,received,565122.37,28256.12,593378.49,paid,2023-06-14T09:33:06
dbf6626d-1dac-4c33-ac5c-d1eacf438e5e,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,91a165e0-dd29-43a8-94ba-b0d57d9f77f2,3f0519f3-383c-48a1-8609-f4b51fd5ecd4,2022-07-31,pending,1385948.37,69297.42,1455245.79,partial,2022-07-31T12:57:12
e788bf54-736b-4161-ae19-f31a854448d6,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,212cf991-45e9-4b5e-b07d-aa0303292cbb,5a96b78c-2c6b-4aaa-88b5-7c7485705113,2022-02-09,pending,186251.56,9312.58,195564.14,paid,2022-02-09T18:17:11
a7b993af-03e6-4907-ab00-0354f10ef01b,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,f19ab549-e262-470a-aa44-9bacdee97062,09cd08c0-c83a-42f5-96cc-b9c13c2aa7e4,2024-10-13,received,184097.22,9204.86,193302.08,unpaid,2024-10-13T09:51:37
52c9d6c1-936d-4fbc-babc-f159db4a08fd,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,2e058fb2-fb73-468b-8aa7-773746a04d4e,f72410dd-3260-4ece-a477-1ae69ac1e84e,2023-11-02,received,843115.0,42155.75,885270.75,unpaid,2023-11-02T14:01:31
f13eccf4-9906-4cd2-bcb8-edaa58dcb39b,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,212cf991-45e9-4b5e-b07d-aa0303292cbb,f0e9f4da-9ca0-492d-a21e-3f8a819f9184,2023-12-21,received,177660.32,8883.02,186543.34,paid,2023-12-21T08:36:50
36ebed5a-b37f-478b-baa6-2d2d7d781f2f,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,588a3ca9-790e-4c7e-a52f-20b4fe497cce,f0e9f4da-9ca0-492d-a21e-3f8a819f9184,2024-12-29,received,46436.52,2321.83,48758.35,unpaid,2024-12-29T18:18:02
