id,company_id,name,contact_email,phone,city,payment_terms_days,created_at
13f071bf-a477-4dde-9791-4b52353c1325,00000000-0000-0000-0000-000000000001,Core Supply Chain,contact@coresupplychain2.com,+724234448365,Kolkata,30,2021-08-01T09:00:00
932c09fc-c8f5-49eb-9664-f631b2f0daee,00000000-0000-0000-0000-000000000001,FastTrack Traders,contact@fasttracktraders6.com,+385290464716,Mumbai,60,2021-08-01T09:00:00
91a165e0-dd29-43a8-94ba-b0d57d9f77f2,00000000-0000-0000-0000-000000000001,UrbanMart Vendors,contact@urbanmartvendors5.com,+218315637075,Mumbai,60,2021-08-01T09:00:00
16659e19-e5f2-4a23-9cfb-9a547d5aff05,00000000-0000-0000-0000-000000000002,Reliable Goods Ltd,contact@reliablegoodsltd3.com,+912741009563,Philadelphia,60,2021-08-01T09:00:00
915d3acf-eead-4094-96cc-2190b09bc5fb,00000000-0000-0000-0000-000000000002,Eastern Commodities,contact@easterncommodities1.com,+815598615444,Philadelphia,90,2021-08-01T09:00:00
beaaa3f3-89f5-4b14-b4ee-11af19f00d58,00000000-0000-0000-0000-000000000002,GlobalTech Supplies,contact@globaltechsupplies5.com,+558528596672,Houston,15,2021-08-01T09:00:00
f19ab549-e262-470a-aa44-9bacdee97062,00000000-0000-0000-0000-000000000002,ProLine Exports,contact@prolineexports6.com,+955003954344,Philadelphia,15,2021-08-01T09:00:00
2e058fb2-fb73-468b-8aa7-773746a04d4e,00000000-0000-0000-0000-000000000002,FastTrack Traders,contact@fasttracktraders7.com,+475470521233,Philadelphia,30,2021-08-01T09:00:00
ac762d6f-ed3b-4c87-b515-d60985542a08,00000000-0000-0000-0000-000000000002,WestCoast Traders,contact@westcoasttraders2.com,+721879233902,Philadelphia,30,2021-08-01T09:00:00
3b91033a-58fc-4601-904a-62494351553a,00000000-0000-0000-0000-000000000002,TrustWell Enterprises,contact@trustwellenterprises2.com,+846263212814,Philadelphia,45,2021-08-01T09:00:00
5892822b-93fa-4e9b-9b06-04ab7cae2b45,00000000-0000-0000-0000-000000000002,Core Supply Chain,contact@coresupplychain5.com,+75567135862,Philadelphia,60,2021-08-01T09:00:00
1b6e5347-c3b2-41b9-8445-7086d99c375d,00000000-0000-0000-0000-000000000002,MetroTrade Co,contact@metrotradeco9.com,+684562932351,Austin,90,2021-08-01T09:00:00
73cdd1f6-899b-4147-97ca-0b457d675d36,00000000-0000-0000-0000-000000000002,UrbanMart Vendors,contact@urbanmartvendors9.com,+384793015896,Houston,60,2021-08-01T09:00:00
f0c1ed07-3526-4728-95b1-d86fb6fd7a9a,00000000-0000-0000-0000-000000000002,PrimeSource Pvt Ltd,contact@primesourcepvtltd2.com,+514856648111,Phoenix,15,2021-08-01T09:00:00
65ab65ca-54f8-4e8d-9e84-87384d6d4fdd,00000000-0000-0000-0000-000000000002,Pinnacle Wholesale,contact@pinnaclewholesale3.com,+365930425078,Chicago,30,2021-08-01T09:00:00
a51cd41b-e869-4b37-852e-977a6d82cbac,00000000-0000-0000-0000-000000000002,SkyHigh Imports,contact@skyhighimports1.com,+385001713266,Austin,45,2021-08-01T09:00:00
b67a77f8-a704-4e29-9c80-12ecad94717d,00000000-0000-0000-0000-000000000002,AlphaStock Inc,contact@alphastockinc8.com,+953768898601,Phoenix,30,2021-08-01T09:00:00
a9f065ca-cf51-4492-bb14-e9059818290f,00000000-0000-0000-0000-000000000002,NexGen Distributors,contact@nexgendistributors1.com,+306737549611,Philadelphia,45,2021-08-01T09:00:00
3c06b02b-885b-4d2a-8963-628bb0dcd76b,00000000-0000-0000-0000-000000000002,Reliable Goods Ltd,contact@reliablegoodsltd9.com,+717207328566,Phoenix,90,2021-08-01T09:00:00
a8680bb4-102b-4cf4-a170-5eb5a2500495,00000000-0000-0000-0000-000000000002,FastTrack Traders,contact@fasttracktraders5.com,+228684846286,Houston,60,2021-08-01T09:00:00
986742bb-c2a2-474f-9c7b-2639157ac1dc,00000000-0000-0000-0000-000000000003,MetroTrade Co,contact@metrotradeco5.com,+994631453750,Sharjah,45,2021-08-01T09:00:00
399195ea-6f83-4bd1-854c-0576868e3b5b,00000000-0000-0000-0000-000000000003,NexGen Distributors,contact@nexgendistributors8.com,+227594134964,Sharjah,30,2021-08-01T09:00:00
7490c99c-54fd-4577-bf9f-ad2156c1e1c9,00000000-0000-0000-0000-000000000003,WestCoast Traders,contact@westcoasttraders3.com,+212021795614,Dubai,45,2021-08-01T09:00:00
02f30f73-2d3a-4410-9981-e136a1ce5d54,00000000-0000-0000-0000-000000000003,ProLine Exports,contact@prolineexports3.com,+576413407687,Sharjah,30,2021-08-01T09:00:00
d5687860-0dc6-4c96-9140-5a55a497c94d,00000000-0000-0000-0000-000000000003,UrbanMart Vendors,contact@urbanmartvendors1.com,+862476811694,Fujairah,60,2021-08-01T09:00:00
68d67282-8967-46e5-9c05-b39b454d3a61,00000000-0000-0000-0000-000000000003,Eastern Commodities,contact@easterncommodities3.com,+692295189353,Dubai,60,2021-08-01T09:00:00
61b608b6-6f10-43b9-95af-e652b210f3a8,00000000-0000-0000-0000-000000000003,Core Supply Chain,contact@coresupplychain3.com,+599279886445,Sharjah,15,2021-08-01T09:00:00
0436de05-d70a-4512-bbe5-92540b42cd62,00000000-0000-0000-0000-000000000003,Reliable Goods Ltd,contact@reliablegoodsltd5.com,+619143161161,Sharjah,90,2021-08-01T09:00:00
9feb0f55-7e5c-4581-9a8d-f846c8f20ce3,00000000-0000-0000-0000-000000000003,SkyHigh Imports,contact@skyhighimports8.com,+443959863754,Riyadh,15,2021-08-01T09:00:00
7eb2daa0-a295-4484-bb3e-a157e2b20283,00000000-0000-0000-0000-000000000003,PrimeSource Pvt Ltd,contact@primesourcepvtltd9.com,+152323202998,Al Ain,90,2021-08-01T09:00:00
9fc17485-c25c-4c84-a174-831549165eab,00000000-0000-0000-0000-000000000003,FastTrack Traders,contact@fasttracktraders8.com,+465692170729,Dubai,90,2021-08-01T09:00:00
120b15c2-6028-48b8-b30e-40f358f81c6b,00000000-0000-0000-0000-000000000003,Pinnacle Wholesale,contact@pinnaclewholesale9.com,+298589615766,Ajman,15,2021-08-01T09:00:00
ee80acdb-977a-4af3-a9bf-47fc4a9fbcab,00000000-0000-0000-0000-000000000003,GlobalTech Supplies,contact@globaltechsupplies9.com,+585112962480,Al Ain,30,2021-08-01T09:00:00
f59bf2da-1446-4867-9c8a-70d19a11a30d,00000000-0000-0000-0000-000000000003,TrustWell Enterprises,contact@trustwellenterprises6.com,+785051881463,Fujairah,60,2021-08-01T09:00:00
2e598a56-6968-4a17-8b69-b1a3e5fda9a6,00000000-0000-0000-0000-000000000003,AlphaStock Inc,contact@alphastockinc7.com,+486953308368,Dubai,45,2021-08-01T09:00:00
65ab3eab-caf3-41f6-8cfc-19f116a30364,00000000-0000-0000-0000-000000000003,MetroTrade Co,contact@metrotradeco6.com,+409493399299,Abu Dhabi,30,2021-08-01T09:00:00
1c82d8ea-34eb-4ff8-bf9d-a85944d2c0a7,00000000-0000-0000-0000-000000000003,ProLine Exports,contact@prolineexports8.com,+959558139653,Riyadh,45,2021-08-01T09:00:00
